a (letter)	/ˈeɪ/
as	/ˈeɪz/
a (article)	/ə, ˈeɪ/
an	/ən, ˈæn/
aback	/əˈbæk/
abacus	/ˈæbəkəs/
abaci	/ˈæbəˌsaɪ, ˈæbəˌkiː/
abandon	/əˈbændən/
abandonment	/əˈbændənmənt/
abashed	/əˈbæʃt/
abate	/əˈbeɪt/
abattoir	/ˈæbəˌtwɑr/
abbey	/ˈæbi/
abbot	/ˈæbət/
abbreviate	/əˈbriːviˌeɪt/
abbreviation	/əˌbriːviˈeɪʃən/
abdicate	/ˈæbdɪˌkeɪt/
abdication	/ˌæbdɪˈkeɪʃən/
abdomen	/ˈæbdəmən, æbˈdoːmən/
abdominal	/æbˈdɑmənəl/
abduct	/æbˈdʌkt/
abduction	/æbˈdʌkʃən/
aberration	/ˌæbəˈreɪʃən/
abet	/əˈbεt/
abeyance	/əˈbeɪəns/
abhor	/əbˈhɔr, æbˈhɔr/
abide	/əˈbaɪd/
abode	/əˈboːd/
ability	/əˈbɪlət̬i/
abject	/ˈæbˌdƷεkt, æbˈdƷεkt/
ablaze	/əˈbleɪz/
able	/ˈeɪbəl/
abnormal	/æbˈnɔrməl/
abnormality	/ˌæbnɚˈmælət̬i, ˌæbnɔrˈmælət̬i/
aboard	/əˈbord/
abolish	/əˈbɑlɪʃ/
abolition	/ˌæbəˈlɪʃən/
abominable	/əˈbɑmənəbəl/
abomination	/əˌbɑməˈneɪʃən/
aborigine	/ˌæbəˈrɪdƷəni/
abort	/əˈbɔrt/
abortion	/əˈbɔrʃən/
abortive	/əˈbɔrt̬ɪv/
abound	/əˈbaʊnd/
about	/əˈbaʊt/
above	/əˈbʌv/
abrasive	/əˈbreɪsɪv/
abreast	/əˈbrεst/
abridge	/əˈbrɪdƷ/
abroad	/əˈbrɔd/
abrupt	/əˈbrʌpt/
abscess	/ˈæbˌsεs/
absence	/ˈæbsəns/
absent	/ˈæbsənt/
absentee	/ˌæbsənˈtiː/
absentminded	/ˌæbsəntˈmaɪndəd/
absolute	/ˈæbsəˌluːt, ˌæbsəˈluːt/
absolutely	/ˌæbsəˈluːtli/
absolve	/əbˈzɑlv, æbˈzɑlv, əbˈsɑlv, æbˈsɑlv/
absorb	/əbˈzɔrb, æbˈzɔrb, əbˈsɔrb, æbˈsɔrb/
absorbent	/əbˈzɔrbənt, æbˈzɔrbənt, əbˈsɔrbənt, æbˈsɔrbənt/
absorption	/əbˈzɔrpʃən, æbˈzɔrpʃən, əbˈsɔrpʃən, æbˈsɔrpʃən/
abstain	/əbˈsteɪn, æbˈsteɪn/
abstinence	/ˈæbstənəns/
abstract	/æbˈstrækt, ˈæbˌstrækt/
~	/ˈæbˌstrækt/
abstraction	/æbˈstrækʃən/
absurd	/əbˈsɝd, əbˈzɝd/
absurdity	/əbˈsɝdət̬i, -ˈzɝdət̬i/
abundant	/əˈbʌndənt/
abundance	/əˈbʌndəns/
abuse	/əˈbjuːz/
~	/əˈbjuːs/
abusive	/əˈbjuːsɪv/
abut	/əˈbʌt/
abyss	/əˈbɪs, ˈæbɪs/
abysmal	/əˈbɪzməl/
academy	/əˈkædəmi/
academic	/ˌækəˈdεmɪk/
accelerate	/ɪkˈsεləˌreɪt, ækˈsεləˌreɪt/
acceleration	/ɪkˌsεləˈreɪʃən, ækˌsεləˈreɪʃən/
accent	/ˈækˌsεnt, ækˈsεnt/
~	/ˈækˌsεnt, ˈæksənt/
accentuate	/əkˈsεntʃʊˌeɪt, ækˈsεntʃʊˌeɪt/
accept	/ɪkˈsεpt, ækˈsεpt/
acceptable	/ɪkˈsεptəbəl, ækˈsεptəbəl/
acceptance	/ɪkˈsεptəns, ækˈsεptəns/
access	/ˈækˌsεs/
accessible	/ɪkˈsεsəbəl, ækˈsεsəbəl/
accident	/ˈæksədənt/
accidental	/ˌæksəˈdεntəl/
accidentally	/ˌæksəˈdεntəli, ˌæksəˈdεntli/
acclaim	/əˈkleɪm/
acclimatize	/əˈklaɪməˌtaɪz/
accommodate	/əˈkɑməˌdeɪt/
accomodation	/əˌkɑməˈdeɪʃən/
accompany	/əˈkʌmpəni, əˈkɑmpəni
accomplice	/əˈkɑmpləs, əˈkʌmpləs/
accomplish	/əˈkɑmplɪʃ, əˈkʌmplɪʃ/
accomplishment	/əˈkɑmplɪʃmənt, əˈkʌmplɪʃmənt/
accordance	/əˈkɔrdəns/
accordingly	/əˈkɔrdɪŋli/
according to	/əˈkɔrdɪŋ/
accordion	/əˈkɔrdiən/
accost	/əˈkɔst/
account	/əˈkaʊnt/
accountable	/əˈkaʊntəbəl/
accountant	/əˈkaʊntənt/
accounting	/əˈkaʊntɪŋ/
accrue	/əˈkruː/
accumulate	/əˈkjuːmjəˌleɪt/
accumulation	/əˌkjuːmjəˈleɪʃən/
accurate	/ˈækjɚət/
accuracy	/ˈækjɚəsi/
accuse	/əˈkjuːz/
accusation	/ˌækjəˈzeɪʃən/
accustomed	/əˈkʌstəmd/
ace	/ˈeɪs/
ache	/ˈeɪk/
achieve	/əˈtʃiːv/
achievement	/əˈtʃiːvmənt/
acid	/ˈæsəd/
acknowledge	/ɪkˈnɑlɪdƷ, ækˈnɑlɪdƷ/
acknowledgment	/ɪkˈnɑlɪdƷmənt, ækˈnɑlɪdƷmənt/
acne	/ˈækni/
acorn	/ˈeɪˌkɔrn, ˈeɪkɚn/
acoustic	/əˈkuːstɪk/
acoustical	/əˈkuːstɪkəl/
acoustics	/əˈkuːstɪks/
acquaint	/əˈkweɪnt/
acquaintance	/əˈkweɪntəns/
acquire	/əˈkwaɪr/
acquisition	/ˌækwəˈzɪʃən/
acquit	/əˈkwɪt/
acre	/ˈeɪkɚ/
acreage	/ˈeɪkɚɪdƷ/
acrid	/ˈækrəd/
acrobat	/ˈækrəˌbæt/
acrobatic	/ˌækrəˈbæt̬ɪk/
acronym	/ˈækrəˌnɪm/
across	/əˈkrɔs/
acrylic	/əˈkrɪlɪk/
act	/ˈækt/
action	/ˈækʃən/
activate	/ˈæktəˌveɪt/
active	/ˈæktɪv/
activity	/ækˈtɪvət̬i/
actor	/ˈæktɚ/
actress	/ˈæktrəs/
actual	/ˈæktʃʊəl/
actually	/ˈæktʃʊəli/
acupuncture	/ˈækjʊˌpʌŋktʃɚ/
acute	/əˈkjuːt/
ad	/ˈæd/
adamant	/ˈædəmənt, ˈædəˌmænt/
adapt	/əˈdæpt/
adaptable	/əˈdæptəbəl/
adaptation	/ˌæˌdæpˈteɪʃən, ˌædəpˈteɪʃən/
adapter	/əˈdæptɚ/
add	/ˈæd/
addict	/ˈædɪkt/
addiction	/əˈdɪkʃən/
addition	/əˈdɪʃən/
additional	/əˈdɪʃənəl/
additive	/ˈædət̬ɪv/
address	/əˈdrεs/
~	/əˈdrεs, ˈæˌdrεs/
adept	/əˈdεpt/
adequate	/ˈædɪkwət/
adhere	/ædˈhɪr, ədˈhɪr/
adherence	/ædˈhɪrəns, ədˈhɪrəns/
adhesive	/ædˈhiːsɪv, ədˈhiːsɪv, ædˈhiːzɪv, ədˈhiːzɪv/
adjacent	/əˈdƷeɪsənt/
adjective	/ˈædƷɪktɪv/
adjoining	/əˈdƷɔɪnɪŋ/
adjourn	/əˈdƷɝn/
adjust	/əˈdƷʌst/
adjustable	/əˈdƷʌstəbəl/
adjustment	/əˈdƷʌstmənt/
administer	/ædˈmɪnəstɚ, ədˈmɪnəstɚ/
administration	/ædˌmɪnəˈstreɪʃən, ədˌmɪnəˈstreɪʃən/
administrative	/ædˈmɪnəˌstreɪt̬ɪv, əd-/
administrator	/ædˈmɪnəˌstreɪt̬ɚ, əd-/
admirable	/ˈædmɚəbəl/
admiral	/ˈædmɚəl/
admire	/ædˈmaɪr/
admiration	/ˌædməˈreɪʃən/
admirer	/ædˈmaɪrɚ/
admit	/ædˈmɪt, ədˈmɪt/
admission	/ædˈmɪʃən/
admittance	/ædˈmɪtəns, ədˈmɪtəns/
admonish	/ædˈmɑnɪʃ, ədˈmɑnɪʃ/
ado	/əˈduː/
adolescent	/ˌædəlˈεsənt/
adolescence	/ˌædəlˈεsəns/
adopt	/əˈdɑpt/
adoption	/əˈdɑpʃən/
adore	/əˈdor/
adorable	/əˈdorəbəl/
adoration	/ˌædəˈreɪʃən/
adorn	/əˈdɔrn/
adornment	/əˈdɔrnmənt/
adrift	/əˈdrɪft/
adroit	/əˈdrɔɪt/
adult	/əˈdʌlt, ˈæˌdʌlt/
adultery	/əˈdʌltɚi/
advance	/ædˈvæns, ədˈvæns/
advancement	/ædˈvænsmənt, ədˈvænsmənt/
advantage	/ədˈvæntɪdƷ, ædˈvæntɪdƷ/
advantageous	/ˌædˌvænˈteɪdƷəs, ˌædvənˈteɪdƷəs/
advent	/ˈædˌvεnt/
adventure	/ædˈvεntʃɚ, ədˈvεntʃɚ/
adventurous	/ædˈvεntʃɚəs, ədˈvεntʃɚəs/
adverb	/ˈædˌvɝb/
adversary	/ˈædvɚˌsεri/
adverse	/ædˈvɝs, ˈædˌvɝs/
adversity	/ædˈvɝsət̬i, əd-/
advertise	/ˈædvɚˌtaɪz/
advertisement	/ˈædvɚˌtaɪzmənt/
advertiser	/ˈædvɚˌtaɪzɚ/
advertising	/ˈædvɚˌtaɪzɪŋ/
advice	/ædˈvaɪs/
advise	/ædˈvaɪz, ədˈvaɪz/
advisable	/ædˈvaɪzəbəl, ədˈvaɪzəbəl/
adviser	/ædˈvaɪzɚ, ədˈvaɪzɚ/
advisory	/ædˈvaɪzɚi, ədˈvaɪzɚi/
advocate	/ˈædvəˌkeɪt/
~	/ˈædvəkət/
ad–lib	/ˈædˈlɪb/
aerial	/ˈεəriəl/
aerobics	/ˌεərˈoːbɪks/
aerodynamic	/ˌεəroːdaɪˈnæmɪk/
aerosol	/ˈεərəˌsɔl/
aesthetic	/εsˈθεt̬ɪk/
afar	/əˈfɑr/
affable	/ˈæfəbəl/
affair	/əˈfεər/
affect	/əˈfεkt, æˈfεkt/
affection	/əˈfεkʃən/
affectionate	/əˈfεkʃənət/
affinity	/əˈfɪnət̬i/
affirm	/əˈfɝm/
affirmative	/əˈfɝmət̬ɪv/
affix	/əˈfɪks/
afflict	/əˈflɪkt/
affliction	/əˈflɪkʃən/
affluent	/ˈæˌfluːənt; æˈfluːənt, əˈfluːənt/
afford	/əˈford/
affront	/əˈfrʌnt/
afloat	/əˈfloːt/
afoot	/əˈfʊt/
afraid	/əˈfreɪd/
African	/ˈæfrɪkən/
after	/ˈæftɚ/
aftereffect	/ˈæftɚəˌfεkt/
aftermath	/ˈæftɚˌmæθ/
afternoon	/ˌæftɚˈnuːn/
afterward	/ˈæftɚwɚd/
afterwards	/-wɚdz/
again	/əˈgεn, -ˈgɪn/
against	/əˈgεnst, -ˈgɪnst/
age	/ˈeɪdƷ/
agency	/ˈeɪdƷənsi/
agenda	/əˈdƷεndə/
agent	/ˈeɪdƷənt/
aggravate	/ˈægrəˌveɪt/
aggregate	/ˈægrɪgət/
aggression	/əˈgrεʃən/
aggressive	/əˈgrεsɪv/
aggressor	/əˈgrεsɚ/
aghast	/əˈgæst/
agile	/ˈædƷəl/
agility	/əˈdƷɪlət̬i/
agitate	/ˈædƷəˌteɪt/
agitation	/ˌædƷəˈteɪʃən/
agnostic	/ægˈnɑstɪk/
ago	/əˈgoː/
agony	/ˈægəni/
agonize	/ˈægəˌnaɪz/
agonizing	/ˈægəˌnaɪzɪŋ/
agree	/əˈgriː/
agreeable	/əˈgriːəbəl/
agreement	/əˈgriːmənt/
agriculture	/ˈægrɪˌkʌltʃɚ/
agricultural	/ˌægrɪˈkʌltʃɚəl/
aground	/əˈgraʊnd/
ahead	/əˈhεd/
aid	/ˈeɪd/
AIDS	/ˈeɪdz/
ail	/ˈeɪl/
ailment	/ˈeɪlmənt/
aim	/ˈeɪm/
aimless	/ˈeɪmləs/
air	/ˈεər/
air–conditioning	/ˌεərkənˈdɪʃənɪŋ/
air conditioned	/ˈεərkənˌdɪʃənd/
aircraft	/ˈεərˌkræft/
airline	/ˈεərˌlaɪn/
airliner	/ˈεərˌlaɪnɚ/
airplane	/ˈεərˌpleɪn/
airport	/ˈεərˌport/
airstrip	/ˈεərˌstrɪp/
airtight	/ˈεərˈtaɪt/
airy	/ˈεəri/
airier	/-iɚ/
aisle	/ˈaɪl/
ajar	/əˈdƷɑr/
akin	/əˈkɪn/
alarm	/əˈlɑrm/
alas	/əˈlæs/
album	/ˈælbəm/
alcohol	/ˈælkəˌhɔl/
alcoholic	/ˌælkəˈhɔlɪk/
alcoholism	/ˈælkəhɔˌlɪzəm/
alcove	/ˈælˌkoːv/
ale	/ˈeɪl/
alert	/əˈlɝt/
alfalfa	/ælˈfælfə/
alga	/ˈælgə/
algae	/ˈælˌdƷiː/
algebra	/ˈældƷəbrə/
alias	/ˈeɪliəs/
alibi	/ˈæləˌbaɪ/
alien	/ˈeɪliən/
alienate	/ˈeɪliəˌneɪt/
alienation	/ˌeɪliəˈneɪʃən/
alight	/əˈlaɪt/
align	/əˈlaɪn/
alignment	/əˈlaɪnmənt/
alike	/əˈlaɪk/
alimony	/ˈæləˌmoːni/
alive	/əˈlaɪv/
all	/ˈɔl/
all–around	/ˌɔləˈraʊnd/
allay	/əˈleɪ/
allege	/əˈlεdƷ/
allegation	/ˌælɪˈgeɪʃən/
alleged	/əˈlεdƷd, əˈlεdƷəd/
allegedly	/əˈlεdƷədli/
allegiance	/əˈliːdƷəns/
allegory	/ˈæləˌgori/
allegorical	/ˌæləˈgɔrɪkəl/
allergy	/ˈælɚdƷi/
allergic	/əˈlɝdƷɪk/
alleviate	/əˈliːviˌeɪt/
alley	/ˈæli/
alliance	/əˈlaɪəns/
alligator	/ˈæləˌgeɪt̬ɚ/
allocate	/ˈæləˌkeɪt/
allocation	/ˌæləˈkeɪʃən/
allot	/əˈlɑt/
allotment	/əˈlɑtmənt/
allow	/əˈlaʊ/
allowance	/əˈlaʊəns/
alloy	/ˈæˌlɔɪ, əˈlɔɪ/
allude	/əˈluːd/
allure	/əˈlʊr/
alluring	/əˈlʊrɪŋ/
allusion	/əˈluːƷən/
ally	/əˈlaɪ, ˈæˌlaɪ/
~	/ˈæˌlaɪ, əˈlaɪ/
almanac	/ˈɔlməˌnæk, ˈæl-/
almighty	/ɔlˈmaɪt̬i/
almond	/ˈɑmənd, ˈɑl-, ˈæ-, ˈæl-/
almost	/ˈɔlˌmoːst, ɔlˈmoːst/
alms	/ˈɑmz, ˈɑlmz, ˈælmz/
alone	/əˈloːn/
along	/əˈlɔŋ/
alongside	/əˌlɔŋˈsaɪd/
aloof	/əˈluːf/
aloud	/əˈlaʊd/
alphabet	/ˈælfəˌbεt/
alphabetical	/ˌælfəˈbεt̬ɪkəl/
alphabetic	/-ˈbεt̬ɪk/
already	/ɔlˈrεdi/
also	/ˈɔlˌsoː/
altar	/ˈɔltɚ/
alter	/ˈɔltɚ/
alteration	/ˌɔltəˈreɪʃən/
alternate	/ˈɔltɚnət/
~	/ˈɔltɚˌneɪt/
alternative	/ɔlˈtɝnət̬ɪv/
although	/ɔlˈðoː/
altitude	/ˈæltəˌtuːd, -ˌtjuːd/
altogether	/ˌɔltəˈgεðɚ/
aluminum	/əˈluːmənəm/
always	/ˈɔlwiz, -ˌweɪz/
amass	/əˈmæs/
amateur	/ˈæmətʃɚ, -tɚ, -ˌtʊr, -ˌtjʊr/
amaze	/əˈmeɪz/
amazement	/əˈmeɪzmənt/
amazing	/əˈmeɪzɪŋ/
ambassador	/æmˈbæsədɚ/
amber	/ˈæmbɚ/
ambiguous	/æmˈbɪgjʊəs/
ambiguity	/ˌæmbəˈgjuːət̬i/
ambition	/æmˈbɪʃən/
ambitious	/æmˈbɪʃəs/
ambivalence	/æmˈbɪvələns/
ambivalent	/æmˈbɪvələnt/
amble	/ˈæmbəl/
ambulance	/ˈæmbjələns/
ambush	/ˈæmˌbʊʃ/
amen	/ˈeɪˈmεn, ˈɑ-/
amenable	/əˈmiːnəbəl, -ˈmε-/
amend	/əˈmεnd/
amendment	/əˈmεndmənt/
amends	/əˈmεndz/
amenities	/əˈmεnət̬iz, -ˈmiː-/
American	/əˈmεrɪkən/
amethyst	/ˈæməθəst/
amiable	/ˈeɪmiːəbəl/
amicable	/ˈæmɪkəbəl/
amid	/əˈmɪd/
amidst	/əˈmɪdst/
amiss	/əˈmɪs/
ammonia	/əˈmoːnjə/
ammunition	/ˌæmjəˈnɪʃən/
amnesia	/æmˈniːƷə/
amnesty	/ˈæmnəsti/
among	/əˈmʌŋ/
amorous	/ˈæmɚəs/
amount	/əˈmaʊnt/
amphibian	/æmˈfɪbiən/
amphibious	/æmˈfɪbiəs/
amphitheater	/ˈæmfəˌθiːət̬ɚ/
ample	/ˈæmpəl/
amplify	/ˈæmpləˌfaɪ/
amplifier	/ˈæmpləˌfaɪɚ/
amputate	/ˈæmpjəˌteɪt/
amputation	/ˌæmpjəˈteɪʃən/
amuse	/əˈmjuːz/
amusement	/əˈmjuːzmənt/
analogy	/əˈnælədƷi/
analogous	/əˈnæləgəs/
analysis	/əˈnæləsəs/
analyses	/əˈnæləˌsiːz/
analytic	/ˌænəˈlɪt̬ɪk/
analytical	/-t̬ɪkəl/
analyze	/ˈænəˌlaɪz/
anarchy	/ˈænɚki, -nɑr-/
anatomy	/əˈnæt̬əmi/
anatomic	/ˌænəˈtɑmɪk/
anatomical	/-mɪkəl/
ancestor	/ˈænˌsεstɚ/
ancestral	/ænˈsεstrəl/
ancestry	/ˈænˌsεstri/
anchor	/ˈæŋkɚ/
anchovy	/ˈænˌtʃoːvi, ænˈtʃoː-/
ancient	/ˈeɪnʃənt/
and	/ˈænd/
anecdote	/ˈænɪkˌdoːt/
anemia	/əˈniːmiə/
anemic	/əˈniːmɪk/
anesthesia	/ˌænəsˈθiːƷə/
anesthetic	/ˌænəsˈθεt̬ɪk/
anew	/əˈnuː, -ˈnjuː/
angel	/ˈeɪndƷəl/
angelic	/ænˈdƷεlɪk/
angelical	/-lɪkəl/
anger	/ˈæŋgɚ/
angler	/ˈæŋglɚ/
Anglo–Saxon	/ˌæŋgloˈsæksən/
angry	/ˈæŋgri/
anguish	/ˈæŋgwɪʃ/
angular	/ˈæŋgjəlɚ/
animal	/ˈænəməl/
animate	/ˈænəmət/
~	/ˈænəˌmeɪt/
animation	/ˌænəˈmeɪʃən/
animosity	/ˌænəˈmɑsət̬i/
anise	/ˈænəs/
ankle	/ˈæŋkəl/
annals	/ˈænəlz/
annex	/əˈnεks, ˈæˌnεks/
~	/ˈæˌnεks, -nɪks/
annihilate	/əˈnaɪəˌleɪt/
annihilation	/əˌnaɪəˈleɪʃən/
anniversary	/ˌænəˈvɝsɚi/
annotate	/ˈænəˌteɪt/
annotation	/ˌænəˈteɪʃən/
announce	/əˈnaʊns/
announcement	/əˈnaʊnsmənt/
announcer	/əˈnaʊnsɚ/
annoy	/əˈnɔɪ/
annoyance	/əˈnɔɪəns/
annoying	/əˈnɔɪɪŋ/
annual	/ˈænjʊəl/
annuity	/əˈnuːət̬i/
annul	/əˈnʌl/
annulment	/əˈnʌlmənt/
anoint	/əˈnɔɪnt/
anomaly	/əˈnɑməli/
anonymous	/əˈnɑnəməs/
anonymity	/ˌænəˈnɪmət̬i/
another	/əˈnʌðɚ/
answer	/ˈænsɚ/
ant	/ˈænt/
antagonize	/ænˈtægəˌnaɪz/
antagonism	/ænˈtægəˌnɪzəm/
antarctic	/æntˈɑrktɪk, -ˈɑrt̬ɪk/
antelope	/ˈæntəlˌoːp/
antenna	/ænˈtεnə/
antennae	/-ˌniː, -ˌnaɪ/
anthem	/ˈænθəm/
anthology	/ænˈθɑlədƷi/
anthropology	/ˌænθrəˈpɑlədƷi/
antibiotic	/ˌæntibaɪˈɑt̬ɪk, ˌæntaɪ-, -bi-/
antibody	/ˈæntiˌbɑdi/
anticipate	/ænˈtɪsəˌpeɪt/
anticipation	/ænˌtɪsəˈpeɪʃən/
antics	/ˈæntɪks/
antidote	/ˈæntɪˌdoːt/
antifreeze	/ˈæntiˌfriːz/
antipathy	/ænˈtɪpəθi/
antiquated	/ˈæntəˌkweɪt̬əd/
antique	/ænˈtiːk/
antiquity	/ænˈtɪkwə-t̬i/
antiseptic	/ˌæntəˈsεptɪk/
antisocial	/ˌæntiˈsoːʃəl, ˌæntaɪ-/
antithesis	/ænˈtɪθəsɪs/
antitheses	/ænˈtɪθəˌsiːz/
anti–Semitic	/ˌæntisəˈmɪt̬ɪk, ˌæntaɪ-/
antlers	/ˈæntlɚz/
antonym	/ˈæntəˌnɪm/
anus	/ˈeɪnəs/
anvil	/ˈænvəl, -vɪl/
anxiety	/æŋkˈzaɪət̬i/
anxious	/ˈæŋkʃəs/
anxiously	/ˈæŋkʃəsli/
any	/ˈεni/
anybody	/ˈεniˌbʌdi, -ˌbɑ-/
anyhow	/ˈεniˌhaʊ/
anymore	/ˌεniˈmor/
anyone	/ˈεniˌwʌn/
anyplace	/ˈεniˌpleɪs/
anything	/ˈεniˌθɪŋ/
anytime	/ˈεniˌtaɪm/
anyway	/ˈεniˌweɪ/
anywhere	/ˈεniˌhwεər/
apart	/əˈpɑrt/
apartment	/əˈpɑrtmənt/
apathy	/ˈæpəθi/
apathetic	/ˌæpəˈθεt̬ɪk/
aperture	/ˈæpɚtʃɚ, -ˌtʃʊr/
apex	/ˈeɪˌpεks/
apices	/ˈeɪpəˌsiːz, ˈæ-/
apiece	/əˈpiːs/
aplomb	/əˈplɑm, -ˈplʌm/
apology	/əˈpɑlədƷi/
apologetic	/əˌpɑləˈdƷεt̬ɪk/
apologize	/əˈpɑləˌdƷaɪz/
apostle	/əˈpɑsəl/
apostrophe	/əˈpɑstrəˌfiː/
appall	/əˈpɔl/
appalling	/əˈpɔlɪŋ/
